wallsMaterial;totalArea;floorNumber;floorsTotal;kitchenArea;latitude;longitude;price
monolith;84;2;12;2016;43.215617;76.903074;377 536
monolith;124.2;3;10;2016;43.215617;76.903074;281 804
monolith;124.2;3;10;2016;43.215617;76.903074;281 804
block;58;6;9;2005;43.214362;76.854151;293 104
block;58.6;8;9;2005;43.21287;76.854358;281 570
block;58.6;7;9;2005;43.21287;76.854349;319 113
block;40.8;2;5;2006;43.36206;76.992088;210 785
block;56.2;9;12;2015;43.223474;76.89498;291 799
block;51.9;6;12;2015;43.223297;76.894315;325 000
block;83.6;9;21;2012;43.247349;76.869629;256 705
block;34.8;1;4;2013;43.278841;76.826618;258 621
block;50.3;2;5;2015;43.332781;76.948322;220 000
block;33.3;8;17;2009;43.206773;76.885009;450 451
block;35.2;5;5;2015;43.333732;76.948879;220 000
block;61.3;3;12;2015;43.204354;76.871309;288 000
block;69.8;8;12;2015;43.203152;76.871767;288 000
block;41.8;9;12;2015;43.223297;76.894315;320 000
block;73.5;15;18;2011;43.245399;76.876942;249 143
block;51.2;11;12;2015;43.223474;76.894971;320 000
block;52;1;5;2015;43.20536;76.858418;220 000
block;59.1;4;5;2011;43.279288;76.820231;232 657
block;55.2;6;12;2015;43.223297;76.894315;335 000
block;55.6;12;12;2015;43.223474;76.894971;323 742
block;66.1;1;17;2014;43.21241;76.844459;316 188
block;85;12;12;2015;43.223474;76.894971;313 648
block;36;1;9;2015;43.266737;76.892527;230 000
block;34.4;1;9;2015;43.26639;76.892483;230 000
block;51.9;11;12;2015;43.223297;76.894315;320 000
block;52.1;1;5;2015;43.333725;76.94887;220 000
block;41.7;10;12;2015;43.223297;76.894315;323 837
block;33.9;5;5;2015;43.333384;76.948654;220 000
block;40.9;9;12;2015;43.223474;76.894971;320 000
block;64.6;12;21;2011;43.247237;76.868426;247 679
block;67.5;4;9;2011;43.249956;76.895393;230 000
block;71.8;9;9;2011;43.249956;76.895393;239 611
block;82.7;12;12;2015;43.204137;76.872118;280 000
block;108.7;8;9;2011;43.268825;76.962919;363 202
block;55.8;3;9;2015;43.26639;76.892483;230 000
block;59.9;8;12;2015;43.203152;76.871767;286 692
block;37.6;2;6;2013;43.300431;76.835404;159 575
block;110.7;17;2;2013;43.212108;76.843093;289 070
block;56.4;2;9;2005;43.265352;76.89993;230 497
block;68.5;9;17;2016;43.213777;76.872531;300 000
block;76.2;7;9;2015;43.266737;76.892527;230 000
block;46.1;5;17;2016;43.213777;76.872531;300 000
block;118.1;5;21;2011;43.247237;76.868426;241 731
block;52.3;3;10;2007;43.225537;76.890237;286 807
block;75.2;8;9;2015;43.26639;76.892483;230 000
block;80.5;4;12;2015;43.203631;76.872297;167 702
block;51;3;9;2011;43.249956;76.895393;319 608
block;78.1;7;9;2015;43.26639;76.892483;230 001
block;46.6;10;17;2016;43.213777;76.87254;300 000
block;95.1;3;6;2011;43.19376;76.909389;440 589
block;71.4;3;16;2013;43.207219;76.885808;376 751
block;79.7;1;9;2014;43.266028;76.892141;181 933
block;133.5;9;12;2015;43.204354;76.8713;248 664
block;69.1;15;17;2016;43.213777;76.872531;280 000
block;112.7;6;6;2012;43.225872;76.843866;230 701
block;37.8;6;10;2017;43.265884;76.961374;340 353
block;35.5;9;12;2015;43.270565;76.839715;338 029
block;75.4;11;12;2013;43.243527;76.853406;305 040
block;46.5;12;17;2016;43.213777;76.872531;300 000
block;56.4;2;9;2006;43.214723;76.849049;342 199
block;72.4;8;17;2015;43.236408;76.892698;310 000
block;87.3;5;17;2015;43.235948;76.89277;330 000
block;79.9;8;9;2005;43.21287;76.854349;285 357
block;68.8;13;17;2016;43.213777;76.872531;300 000
block;89.7;2;17;2015;43.235935;76.892752;310 000
block;114.1;13;17;2013;43.212246;76.843839;236 635
block;82.1;15;17;2009;43.206773;76.885;356 882
block;50.4;7;13;2015;43.273105;76.929403;360 000
block;37.8;7;10;2017;43.265904;76.961356;410 053
block;119.2;6;9;2014;43.225412;76.954691;412 408
block;53.1;11;13;2015;43.261335;76.930894;357 816
block;42.8;9;10;2017;43.265884;76.961374;327 103
block;47.2;6;13;2015;43.261335;76.930894;370 000
block;44.1;2;3;2012;43.287262;76.923187;256 236
block;75.1;15;17;2015;43.235948;76.89277;310 000
block;32.9;2;6;2013;43.300431;76.835404;221 885
block;84.5;5;17;2016;43.213777;76.87254;307 338
block;33.4;4;5;2013;43.200576;76.880041;314 372
block;78.1;2;9;2006;43.226667;76.845204;313 701
block;78.1;2;9;2006;43.226667;76.845204;313 701
block;68;2;4;2015;43.279563;76.826726;185 000
block;47;3;4;2015;43.279563;76.826726;185 000
block;38.5;5;7;2007;43.360454;76.994334;246 754
block;46.9;3;4;2015;43.279563;76.826726;184 606
block;46.9;2;4;2015;43.279563;76.826726;185 000
block;88.8;2;4;2015;43.26981;76.820797;185 000
block;46.8;1;4;2015;43.279563;76.826726;185 000
block;88.8;1;4;2015;43.279563;76.826726;185 000
block;62.8;1;7;2007;43.360454;76.994334;207 007
block;44.3;3;5;2013;43.200576;76.880041;329 572
block;84.6;1;4;2014;43.279419;76.825989;186 762
block;67.8;5;5;2013;43.28041;76.824112;169 617
block;72.8;7;9;2006;43.239508;76.824309;219 781
block;63.9;5;5;2008;43.356324;76.91918;179 969
block;94.7;7;9;2007;43.362486;76.993714;186 907
block;35.7;1;5;2011;43.278467;76.82068;224 090
block;69.5;3;4;2013;43.276879;76.818273;210 072
block;55.4;2;9;2006;43.239803;76.824507;285 199
block;35.9;3;5;2012;43.356305;76.920339;194 987
block;39.4;3;5;2008;43.357367;76.924148;203 046
block;67.9;4;5;2013;43.28041;76.824112;220 914
block;48.2;5;16;2016;43.269015;76.946974;313 500
block;48.9;3;16;2016;43.269015;76.946974;313 500
block;73.4;7;9;2006;43.23981;76.824516;267 030
block;63.7;5;16;2016;43.269015;76.946974;313 500
block;48.5;9;16;2016;43.269015;76.946974;313 500
block;27;2;3;2012;43.30175;76.900891;266 667
block;79.7;2;12;2007;43.2199;76.841476;301 130
block;62.2;2;5;2008;43.356639;76.924489;176 849
block;103.6;2;3;2011;43.197066;76.848672;318 533
block;88.2;4;9;2014;43.272429;76.892779;206 350
block;46.6;5;9;2013;43.2657;76.965147;349 786
block;104.6;1;12;2007;43.2199;76.841476;248 566
block;57.6;5;10;2012;43.214552;76.854798;217 882
block;57.8;5;5;1980;43.244381;76.89091;259 516
block;56.2;2;5;1974;43.262129;76.92731;266 904
block;55.1;1;9;1989;43.196245;76.892833;326 679
block;53.9;5;5;1989;43.271628;76.934128;222 635
block;57.5;12;12;2016;43.264033;76.819962;248 696
block;92;9;9;2005;43.287262;76.923187;152 174
block;34;6;12;2016;43.264151;76.820509;250 000
block;58.8;11;12;2016;43.264144;76.820501;261 055
block;57.1;5;12;2017;43.263311;76.820896;239 650
block;64.2;7;14;2013;43.235403;76.898366;440 810
block;98.1;6;7;2015;43.226082;76.885934;257 391
block;46.1;6;6;2015;43.311918;76.89639;224 995
block;33.7;4;6;2014;43.31117;76.89675;267 063
block;48.1;5;5;2015;43.20536;76.858418;220 000
block;44.1;3;7;2016;43.311564;76.897702;226 758
block;45.9;2;6;2016;43.311564;76.897702;224 401
block;58.8;5;10;2015;43.198657;76.874965;289 116
block;95.6;6;10;2014;43.222055;76.851726;288 703
block;47.4;7;10;2014;43.222049;76.851726;301 688
block;48;3;17;2016;43.212903;76.871327;300 000
block;48.1;7;17;2016;43.212903;76.871327;300 000
block;43.9;5;9;2016;43.238194;76.863233;285 000
block;48.3;7;17;2016;43.212903;76.871327;300 000
block;67.8;7;17;2016;43.212903;76.871336;241 888
block;45.7;5;6;2015;43.311918;76.89639;218 819
block;48.3;8;17;2016;43.212903;76.871327;300 000
block;80.1;7;13;2015;43.227829;76.938997;249 688
block;44.6;9;9;2016;43.238194;76.863224;285 000
block;68.4;4;5;2012;43.278375;76.82183;199 562
block;31.9;1;6;2014;43.311643;76.895914;246 000
block;49.7;5;12;2007;43.2199;76.841476;272 838
block;61.4;1;5;2008;43.287262;76.923187;423 453
block;41.4;3;12;2015;43.223297;76.894315;325 000
block;106.4;5;9;2014;43.225412;76.954691;516 918
block;106.4;5;9;2014;43.225412;76.954691;516 918
block;74.7;3;9;2005;43.265654;76.899723;323 829
block;65.9;8;10;2004;43.208159;76.861527;283 764
block;57.4;1;9;2006;43.217916;76.836167;304 879
block;33.4;4;5;2013;43.200569;76.880032;389 222
block;81.7;10;12;2015;43.203999;76.871354;206 561
block;108.5;7;13;2015;43.227829;76.938997;435 000
block;49.9;4;5;2015;43.332781;76.948322;220 000
block;112;10;12;2015;43.203999;76.871354;270 000
block;54.7;7;9;2005;43.2653;76.898717;219 379
block;87.7;8;9;2014;43.272422;76.89277;193 843
block;52.4;2;12;2015;43.223297;76.894315;320 000
block;52.4;2;12;2015;43.223297;76.894315;320 000
block;82.9;9;9;2015;43.257513;76.934461;255 127
block;82.9;9;9;2015;43.257513;76.934461;255 127
block;54.2;5;5;2015;43.332774;76.948322;220 000
block;49.1;4;5;2015;43.205347;76.858427;220 000
block;41.4;9;12;2015;43.223297;76.894315;320 000
block;52.1;8;12;2015;43.223297;76.894315;320 000
block;42.4;1;12;2015;43.223297;76.894315;320 000
block;50.4;1;5;2015;43.332774;76.948322;220 000
block;50.9;3;12;2015;43.223297;76.894315;320 000
block;35.3;11;12;2015;43.270565;76.839715;305 950
brick;32.3;3;5;1987;43.215025;76.898483;458 948
brick;34;3;2;1985;43.300536;76.986303;288 133
brick;72.3;14;7;2004;43.204867;76.876726;338 368
brick;48.1;5;5;1990;43.302635;76.924885;269 439
brick;50;5;5;1987;43.243625;76.900163;360 000
brick;74.2;9;9;1992;43.217358;76.838512;296 496
brick;70.7;5;5;1981;43.245589;76.919998;311 174
brick;110.8;4;5;1994;43.21925;76.835637;216 607
brick;56.1;2;4;1971;43.20486;76.876717;351 159
brick;51.6;1;5;1985;43.343436;76.973304;232 559
brick;68.5;5;5;1994;43.257152;76.912946;343 066
brick;52.1;5;5;1979;43.222712;76.894989;306 718
brick;43.7;5;5;1989;43.359497;76.990857;205 950
brick;64.8;2;5;1968;43.245103;76.950514;359 723
brick;73.9;4;5;1980;43.251762;76.906927;338 295
brick;41.8;3;5;1977;43.253147;76.906541;322 967
brick;49.6;2;3;1984;43.287262;76.923187;120 968
brick;52.7;2;5;1994;43.203171;76.887138;341 556
brick;64.2;3;3;1973;43.335404;76.950765;208 723
brick;33.4;2;2;1978;43.196764;76.812865;239 521
brick;46.4;4;4;1967;43.209375;76.867446;258 621
brick;89.7;2;5;1972;43.227764;76.903792;355 597
brick;60.9;2;2;1973;43.177747;76.971453;138 690
brick;71.9;1;5;1978;43.242417;76.901511;347 706
brick;44.5;3;4;1971;43.218475;76.896624;292 135
brick;60.9;4;5;2010;43.29467;76.94189;193 761
brick;31.6;2;2;1974;43.175315;76.870474;189 874
brick;40.7;4;4;1972;43.242929;76.83959;184 276
brick;58.7;1;3;1969;43.353912;76.924921;136 287
brick;66.6;3;3;1973;43.35502;76.950082;189 190
brick;95.8;9;9;2001;43.219388;76.838916;292 276
brick;33.3;2;5;1985;43.347593;76.965489;210 211
brick;51.2;2;5;1984;43.357871;77.153353;390 625
brick;60.4;2;5;1982;43.271004;76.938288;182 120
brick;106.2;3;5;1987;43.221832;76.888934;296 611
brick;84.7;9;9;2005;43.212239;76.852175;283 354
brick;53.3;3;5;1991;43.207883;76.860925;262 665
brick;44;4;4;1972;43.219795;76.954502;306 819
brick;32.4;4;5;1981;43.228224;76.894324;302 470
brick;67.2;4;5;1987;43.222213;76.891045;342 262
brick;31.4;4;5;1985;43.249135;76.906487;350 319
brick;51.2;5;5;1988;43.255327;76.935233;341 797
brick;60.4;3;5;2005;43.303272;76.925406;231 789
brick;38.8;3;5;2006;43.304938;76.923897;257 732
brick;70.4;3;3;1980;43.303121;76.987551;241 478
brick;51.9;2;5;1980;43.211083;76.86883;254 336
brick;44579;4;5;1976;43.245904;76.911805;331 492
brick;49.7;4;5;1976;43.209276;76.870258;301 811
brick;69;9;9;1994;43.236736;76.82316;257 247
brick;43.9;5;5;1988;43.289099;76.929825;227 791
brick;50.8;3;5;1990;43.218409;76.839985;313 780
brick;50.8;3;5;1990;43.218409;76.839985;313 780
brick;50.8;3;5;1990;43.218409;76.839985;313 780
brick;34.2;5;5;1981;43.235974;76.91503;345 030
brick;35.8;3;5;1991;43.21678;76.837245;335 196
brick;52.6;2;5;1980;43.236552;76.905787;334 601
brick;66.6;1;5;1991;43.245661;76.915084;225 226
brick;69.4;4;5;1990;43.209644;76.899444;353 026
brick;33.8;4;5;1977;43.252681;76.908949;410 060
brick;82.4;7;7;1974;43.292944;76.838134;266 991
brick;67.9;5;5;1991;43.248977;76.925235;285 715
brick;71.6;3;6;1988;43.226161;76.846606;307 263
brick;44.4;9;9;1994;43.236736;76.82316;180 181
brick;50.3;5;5;1983;43.248078;76.911823;318 092
brick;33.5;1;3;1979;43.248144;76.838134;280 598
brick;36.7;4;5;1980;43.248544;76.914096;286 104
brick;42.9;4;5;1989;43.21107;76.915021;353 380
brick;51.5;3;5;1976;43.25729;76.934712;407 767
brick;32.2;2;5;1987;43.342243;76.941045;186 336
brick;68.3;5;5;1977;43.263554;76.952346;278 185
brick;45.9;2;2;1970;43.266422;76.860233;213 508
brick;49.8;9;9;1993;43.242732;76.934721;301 205
brick;72.9;3;6;1993;43.304472;76.926349;245 542
brick;70.6;4;20;2007;43.243934;76.876088;290 369
brick;62.6;2;5;1984;43.23891;76.831298;251 598
brick;38.8;4;5;2006;43.30667;76.923915;244 846
brick;36;3;4;1969;43.23849;76.913027;222 223
brick;55.9;2;5;1976;43.224939;76.889877;330 949
brick;54.4;3;5;1985;43.198111;76.907233;367 648
brick;49.9;2;5;1976;43.200911;76.841979;224 449
brick;78.3;2;5;2010;43.29467;76.94189;204 343
brick;42.4;1;4;1967;43.222232;76.96442;353 774
brick;76.8;1;2;1977;43.181942;76.805606;184 896
brick;44732;4;4;1969;43.212601;76.88067;194 175
brick;49.6;4;5;1985;43.186333;76.865614;362 904
brick;49.7;4;5;1982;43.260731;76.932386;336 017
brick;35.7;2;5;1977;43.226778;76.911671;252 101
brick;70.5;3;9;1994;43.236736;76.82316;283 688
brick;32.5;5;5;1987;43.205563;76.905499;323 077
brick;52.1;4;4;1978;43.201443;76.842644;264 876
brick;98;4;5;1980;43.211083;76.86883;238 239
brick;53.5;4;5;1986;43.255137;76.861419;242 991
brick;33.2;1;3;1978;43.297761;76.952014;292 169
brick;70.5;3;5;1984;43.226811;76.933203;429 788
brick;53.8;5;5;1977;43.246962;76.940453;371 748
brick;50.5;2;5;1993;43.267079;76.956254;366 337
brick;35;4;5;1992;43.208343;76.835475;295 715
brick;36;4;5;1990;43.217535;76.840317;291 667
monolith;80.5;6;9;2010;43.253042;76.825271;149 069
monolith;105.6;7;9;2014;43.233281;76.853154;247 000
monolith;65;11;18;2012;43.241892;76.877508;268 708
monolith;44.6;9;4;2014;43.233005;76.852175;260 000
monolith;70.1;11;12;2013;43.231252;76.885835;323 785
monolith;49.6;4;9;2014;43.233005;76.852175;260 000
monolith;62.9;3;18;2012;43.241892;76.877508;275 333
monolith;51.7;9;2;2014;43.226667;76.845204;188 354
monolith;52.6;9;8;2014;43.233005;76.852175;300 000
monolith;65.2;5;13;2013;43.231055;76.831038;235 625
monolith;71.7;18;9;2012;43.241892;76.877508;248 703
monolith;62;8;10;2015;43.243731;76.835916;262 186
monolith;48.3;9;9;2014;43.233005;76.852175;300 000
monolith;61.4;2;10;2015;43.243731;76.835916;302 932
monolith;44730;5;9;2014;43.255445;76.923429;403 226
monolith;44804;9;12;2000;43.239147;76.826358;320 755
monolith;36.2;8;12;2000;43.239147;76.826358;303 868
monolith;61.1;5;10;2015;43.243724;76.835907;270 000
monolith;55.2;7;12;2015;43.223297;76.894315;325 000
monolith;107.6;10;16;2013;43.23089;76.790102;133 829
monolith;45.5;4;9;2010;43.243363;76.813575;255 143
monolith;61.6;17;18;2011;43.245399;76.876942;248 572
monolith;61.4;10;10;2015;43.243731;76.835916;258 958
monolith;82.2;1;16;2012;43.220754;76.795878;169 088
monolith;82.2;1;16;2012;43.220754;76.795878;169 088
monolith;45.3;2;7;2015;43.311741;76.897037;256 248
monolith;55.5;1;18;2012;43.241892;76.877508;342 343
monolith;52.8;4;12;2009;43.226667;76.845204;227 273
monolith;63.6;17;18;2011;43.245399;76.876942;250 567
monolith;52.8;2;12;1995;43.241642;76.833319;284 091
monolith;62.1;15;16;2013;43.231508;76.88491;328 761
monolith;58.6;6;9;2007;43.226667;76.845204;443 687
monolith;73;17;18;2011;43.245399;76.876942;248 877
monolith;68.2;17;17;2014;43.212594;76.845222;294 456
monolith;49.7;15;16;2014;43.214953;76.874103;442 656
monolith;131.3;8;13;2015;43.22622;76.934901;450 000
monolith;73.7;2;16;2012;43.230345;76.790506;182 361
monolith;51.2;9;9;2010;43.253003;76.826052;175 782
monolith;74.6;12;12;2015;43.231298;76.875792;364 000
monolith;123.8;7;15;2011;43.215446;76.883931;242 327
monolith;88;1;16;2012;43.230628;76.789715;177 273
monolith;86;16;16;2013;43.231508;76.884901;305 156
monolith;55;3;9;2007;43.179864;76.867851;421 091
monolith;39.4;5;5;2008;43.357858;76.924193;177 665
monolith;87.6;15;16;2013;43.231508;76.88491;305 325
monolith;160.6;2;16;2012;43.225951;76.792823;127 647
monolith;85.9;13;14;2013;43.23139;76.885323;305 160
monolith;98;16;16;2012;43.23089;76.790102;132 654
monolith;73;15;18;2011;43.245399;76.876942;248 548
monolith;80.9;1;5;2015;43.285831;77.001781;240 000
monolith;63.4;6;16;2012;43.230628;76.789715;166 247
monolith;66.4;9;9;2010;43.244249;76.815111;240 964
monolith;63.4;2;16;2012;43.220754;76.795878;165 616
monolith;98.2;7;9;2014;43.226667;76.845204;184 500
monolith;63;11;16;2012;43.230628;76.789715;165 080
monolith;65.7;9;9;2010;43.241898;76.815479;304 141
monolith;40.1;2;5;2008;43.355158;76.925271;201 996
monolith;96;8;12;2013;43.232178;76.789616;135 000
monolith;38.2;7;12;1997;43.240644;76.828082;261 781
monolith;129.3;10;13;2010;43.215341;76.88261;270 689
monolith;74;3;11;2009;43.220584;76.842815;297 298
monolith;125.3;6;18;2012;43.241892;76.877508;247 087
monolith;45.4;6;9;2010;43.242857;76.813566;264 318
monolith;63.9;2;5;2008;43.356305;76.921561;208 905
monolith;44.5;14;16;2012;43.230345;76.790506;220 225
monolith;68.6;5;9;2008;43.232106;76.799651;227 610
monolith;58.5;4;18;2011;43.244873;76.876259;273 505
monolith;76.9;2;5;2007;43.357281;76.951655;221 067
monolith;93.4;16;16;2012;43.230345;76.790506;161 288
monolith;106.6;8;9;2014;43.233005;76.852175;265 000
monolith;144.2;10;12;2012;43.225951;76.792823;166 436
monolith;117.5;2;5;2015;43.285831;77.001781;195 745
monolith;51.1;3;5;2008;43.288174;77.002589;279 844
monolith;73.9;3;5;2015;43.285831;77.001781;197 565
